"country","year","country_name","ISO","COWcode","Region_UN","Vdem_libdem_z","Vdem_libdem_m1","ChgDem","Vdem_regime_di","Vdem_polyarchy_z","Vdem_liberal_z","corruption_z","corruption_m1","swiid_gini","swiid_gini_m1","edu_year","edu_year_m1","DemYear_z","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1"
"Mali",1987,"Mali","MLI",432,"Western Africa",-1.10545303624649,-1.04985392731669,-0.0555991089297996,0,-1.3035000580808,-0.98337071262471,NA,NA,NA,45.1,NA,NA,-1.26298743970573,6.57088296233958,6.50195286192748,6.58202513889283,6.46659592159433
"Malta",1987,"Malta","MLT",338,"Southern Europe",0.451322013787893,-1.10545303624649,1.55677505003439,1,0.696721145667191,0.3423003499324,NA,NA,NA,NA,NA,NA,-1.65468060798406,9.28665305482535,9.10840422773831,9.26435496028242,9.03535473349093
"Mauritius",1987,"Mauritius","MUS",590,"Eastern Africa",0.810862918200597,0.451322013787893,0.359540904412704,1,0.86372253649245,0.757057085878631,NA,NA,37.5,NA,NA,NA,-1.65468060798406,9.11018849002574,8.24145718998286,8.90163893230033,8.1276839700843
"Mexico",1987,"Mexico","MEX",70,"Central America",-1.03132089100676,0.810862918200597,-1.84218380920736,0,-0.779722968674307,-1.25083066384237,NA,NA,46.2,37.5,NA,NA,-1.15558979576048,9.14131178556575,8.92095717925179,9.15175741454389,8.89986899114712
"Moldova",1987,"Moldova","MDA",365,"Eastern Europe",-1.39827500994344,-1.03132089100676,-0.366954118936677,0,-1.5160472827675,NA,NA,NA,NA,46.2,NA,NA,-1.33465208849123,8.36194190614495,7.55918137647323,8.37031599555548,8.30048151212591
"Mongolia",1987,"Mongolia","MNG",712,"Eastern Asia",-1.35750233006159,-1.39827500994344,0.0407726798818531,0,-1.38700075349343,-1.81676041569424,NA,NA,NA,NA,NA,NA,-1.40396331830657,7.8046592970561,8.03001480944399,7.74196789982069,7.99927033941628
"Montenegro",1987,"Montenegro","MNE",345,"Southern Europe",-1.10174642898451,-1.35750233006159,0.255755901077078,0,-1.55020665816357,NA,NA,NA,NA,NA,NA,NA,-0.946391075649946,9.51125944745996,9.56281646202618,9.56619497953101,9.54112715815751
"Morocco",1987,"Morocco","MAR",600,"Northern Africa",-1.01649446195882,-1.10174642898451,0.0852519670256926,0,-1.35284137809736,-0.599623826095021,NA,NA,40.7,NA,NA,NA,NA,8.39638057119949,7.63547257962379,8.44440742169058,7.65692512772094
"Mozambique",1987,"Mozambique","MOZ",541,"Eastern Africa",NA,-1.01649446195882,NA,1,NA,-1.7741218727465,NA,NA,NA,40.7,NA,NA,-2.38612071175222,6.08449941307517,5.46595761984797,6.1527326947041,5.3027142710154
"Myanmar (Burma)",1987,"Myanmar","MMR",775,"South-eastern Asia",-1.48352697696913,NA,NA,0,-1.53882019969821,-2.204383533401,NA,NA,NA,NA,NA,NA,NA,7.04228617193974,6.5705264397801,7.09090982207998,7.86738799838657
"Namibia",1987,"Namibia","NAM",565,"Southern Africa",-1.27966357755987,-1.48352697696913,0.203863399409265,0,-1.74377645207467,-1.28571674443598,NA,NA,NA,NA,NA,NA,-1.44001537451265,8.53326337159373,8.18529646405735,8.35561499576018,8.97427582209265
"Nepal",1987,"Nepal","NPL",790,"Southern Asia",-1.21294464684411,-1.27966357755987,0.0667189307157594,0,-1.6147299228006,-1.10741011029087,NA,NA,37.7,NA,NA,NA,-0.626935505727859,6.86171134048073,6.43704252310312,6.86901445066571,6.41770995220821
"Netherlands",1987,"Netherlands","NLD",210,"Western Europe",1.4187465091664,-1.21294464684411,2.63169115601051,1,1.22429372122881,1.26096713889742,NA,NA,24.3,37.7,NA,NA,-1.65468060798406,10.0263244624952,9.73956924433081,10.0355678928933,9.70315037242027
"New Zealand",1987,"New Zealand","NZL",920,"Australia and New Zealand",1.38538704380853,1.4187465091664,-0.0333594653578797,1,1.20152080429809,1.19894744006433,NA,NA,27.3,24.3,NA,NA,-1.65468060798406,9.85124644069044,9.51697498140702,9.82146371705754,9.47708110417034
"Nicaragua",1987,"Nicaragua","NIC",93,"Central America",-0.972015174814975,1.38538704380853,-2.3574022186235,0,-0.612721577849048,-1.17718227147809,NA,NA,NA,27.3,NA,NA,-1.77584435928541,8.02256894698825,7.65802423990428,7.99023818572036,7.66298447888392
"Niger",1987,"Niger","NER",436,"Western Africa",-1.25001071946397,-0.972015174814975,-0.277995544648998,0,-1.67925318743764,-1.2120683520717,NA,NA,NA,NA,NA,NA,-1.11173012591153,6.87316383421252,6.5705264397801,6.92559519711047,6.57424498761828
"Nigeria",1987,"Nigeria","NGA",475,"Western Africa",-1.24630411220199,-1.25001071946397,0.00370660726198646,0,-1.31109103039104,-1.47952830328936,NA,NA,43.5,NA,NA,NA,-0.451874934420282,8.349011198176,7.93142140283435,8.44074401925283,8.3653298236054
"North Macedonia",1987,"North Macedonia","MKD",345,"Southern Europe",-1.10174642898451,-1.24630411220199,0.144557683217479,0,-1.55020665816357,NA,NA,NA,NA,43.5,NA,NA,-0.949355003139665,9.10331179921766,9.36350827033582,9.11910189154191,8.88253348040243
"Norway",1987,"Norway","NOR",385,"Northern Europe",1.54477115607395,-1.10174642898451,2.64651758505846,1,1.25845309662488,1.3462442247929,NA,NA,21.9,NA,NA,NA,-1.65468060798406,10.2243021310238,10.1195399422452,10.1979466092669,10.0824089352244
"Pakistan",1987,"Pakistan","PAK",770,"Southern Asia",-1.16105214517629,1.54477115607395,-2.70582330125024,0,-1.40597818426903,-1.0686477985202,NA,NA,34.1,21.9,NA,NA,NA,7.76387128782022,7.33602955064017,7.73718007783463,7.28685004905131
"Palestinian Territories",1987,"Palestine","PSE",NA,"Western Asia",-1.28707679208384,-1.16105214517629,-0.126024646907545,0,-1.88420943981409,-1.24695443266531,NA,NA,NA,34.1,NA,NA,-0.924390600577115,7.90322680873073,7.88881077157963,7.93951526066241,7.70848640449681
