country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,2012,impdemoc_wvs,8,253.2099306,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,9,215.1783995,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,10,595.4937103,wvs_combo,332,NA
Colombia,2012,strong_amb_1,1,170.9990242,amb_combo,332,NA
Colombia,2012,strong_amb_1,2,1266.99277,amb_combo,332,NA
Colombia,2012,strong_wvs,1,241.1999734,wvs_combo,332,NA
Colombia,2012,strong_wvs,2,640.5310498,wvs_combo,332,NA
Colombia,2012,strong_wvs,3,512.4248398,wvs_combo,332,NA
Colombia,2012,strong_wvs,4,119.0987421,wvs_combo,332,NA
Colombia,2012,threestate_amb,1,188.9989215,amb_combo,332,NA
Colombia,2012,threestate_amb,2,196.9988758,amb_combo,332,NA
Colombia,2012,threestate_amb,3,1009.994236,amb_combo,332,NA
Colombia,2013,church_amb,1,133,amb_colombia2013,332,NA
Colombia,2013,church_amb,2,78,amb_colombia2013,332,NA
Colombia,2013,church_amb,3,158,amb_colombia2013,332,NA
Colombia,2013,church_amb,4,248,amb_colombia2013,332,NA
Colombia,2013,church_amb,5,279,amb_colombia2013,332,NA
Colombia,2013,church_amb,6,284,amb_colombia2013,332,NA
Colombia,2013,church_amb,7,331,amb_colombia2013,332,NA
Colombia,2013,church_lb,1,92.61178216,lb2013,332,NA
Colombia,2013,church_lb,2,205.4756896,lb2013,332,NA
Colombia,2013,church_lb,3,688.848045,lb2013,332,NA
Colombia,2013,church_lb,4,213.4607229,lb2013,332,NA
Colombia,2013,threestate_lb,1,236.6516805,lb2013,332,NA
Colombia,2013,threestate_lb,2,335.6091759,lb2013,332,NA
Colombia,2013,threestate_lb,3,628.1353832,lb2013,332,NA
Colombia,2014,church_amb,1,42.99975462,amb_combo,332,NA
Colombia,2014,church_amb,2,42.99975462,amb_combo,332,NA
Colombia,2014,church_amb,3,121.9993038,amb_combo,332,NA
Colombia,2014,church_amb,4,232.9986704,amb_combo,332,NA
Colombia,2014,church_amb,5,276.9984193,amb_combo,332,NA
Colombia,2014,church_amb,6,231.9986761,amb_combo,332,NA
Colombia,2014,church_amb,7,474.9972894,amb_combo,332,NA
Colombia,2014,threestate_amb,1,220.9987389,amb_combo,332,NA
Colombia,2014,threestate_amb,2,150.9991383,amb_combo,332,NA
Colombia,2014,threestate_amb,3,988.9943563,amb_combo,332,NA
Colombia,2015,church_lb,1,111.80361,lb2015,332,NA
Colombia,2015,church_lb,2,235.5964644,lb2015,332,NA
Colombia,2015,church_lb,3,641.0204244,lb2015,332,NA
Colombia,2015,church_lb,4,215.7006346,lb2015,332,NA
Colombia,2015,threestate_lb,1,239.0734804,lb2015,332,NA
Colombia,2015,threestate_lb,2,297.9784788,lb2015,332,NA
Colombia,2015,threestate_lb,3,667.0691742,lb2015,332,NA
Colombia,2016,church_lb,1,91.20890387,lb2016,332,NA
Colombia,2016,church_lb,2,229.4564904,lb2016,332,NA
Colombia,2016,church_lb,3,683.3363224,lb2016,332,NA
Colombia,2016,church_lb,4,196.3765305,lb2016,332,NA
Colombia,2016,threestate_lb,1,164.5748765,lb2016,332,NA
Colombia,2016,threestate_lb,2,365.9829615,lb2016,332,NA
Colombia,2016,threestate_lb,3,669.8204091,lb2016,332,NA
Colombia,2017,army_pew,1,246.1688976,pew2017,332,NA
Colombia,2017,army_pew,2,122.2961401,pew2017,332,NA
Colombia,2017,army_pew,3,194.4330241,pew2017,332,NA
Colombia,2017,army_pew,4,437.101937,pew2017,332,NA
Colombia,2017,church_lb,1,90.01181544,lb2017,332,NA
Colombia,2017,church_lb,2,279.6719497,lb2017,332,NA
Colombia,2017,church_lb,3,585.2269682,lb2017,332,NA
Colombia,2017,church_lb,4,249.1012854,lb2017,332,NA
Colombia,2017,evdemoc_pew,1,316.2971049,pew2017,332,NA
Colombia,2017,evdemoc_pew,2,152.1067804,pew2017,332,NA
Colombia,2017,evdemoc_pew,3,211.3582181,pew2017,332,NA
