"","ISO","year","dependence","wdi_pop","country","country_name","COWcode","Region_UN","muslism_prop_2010","muslism_prop_1990","dependence_pc","dependence_pc_di","dependence_pc_di_m1","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1","mdprgdp_grwth_r","imfgdp_grwth_r","mdprgdp_grwth","imfgdp_grwth","imfgdp_grwth_lag1","mdprgdp_grwth_lag1","imfgdp_grwth_rlag1","mdprgdp_grwth_rlag1","firstyear","regime","country_text_id","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime","Vdem_liberal","Vdem_corruption","liberal_sd","polyarchy_sd","libdem_sd","corr_sd","Vdem_libdem_m1","Vdem_libdem_m2","Region_libdem","Chgdem","upchgdem","downchgdem","Region_libdem_m1"
"67","KWT",1986,25.61797095,1832310,"Kuwait","Kuwait",NA,NA,NA,NA,7786.326091,1,NA,10.3220005,10.23742894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","KGZ",1986,NA,4066500,"Kyrgyzstan","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,8.733916175,8.162782342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","LVA",1986,NA,2599892,"Latvia","Latvia",NA,NA,NA,NA,NA,NA,NA,9.446518602,8.923159317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","LBN",1986,NA,2660872,"Lebanon","Lebanon",NA,NA,NA,NA,0,0,NA,9.252441548,9.189311079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","LSO",1986,8.635538703,1561692,"Lesotho","Lesotho",NA,NA,NA,NA,112.5210693,0,NA,7.172424577,6.457977409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","LBR",1986,NA,2158429,"Liberia","Liberia",NA,NA,NA,NA,260.7242,0,NA,6.69950034,7.336029551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","LBY",1986,NA,3994597,"Libya","Libya",NA,NA,NA,NA,2756.291,1,NA,10.15747064,9.992426468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LTU",1986,NA,3578914,"Lithuania","Lithuania",NA,NA,NA,NA,NA,NA,NA,9.369308003,9.574342867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","LUX",1986,0.03724785,368355,"Luxembourg","Luxembourg",NA,NA,NA,NA,10.05505701,0,NA,10.20340694,10.15554224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","MDG",1986,2.800889903,10352120,"Madagascar","Madagascar",NA,NA,NA,NA,32.79842076,0,NA,7.065613364,6.995189668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","MWI",1986,6.921123323,7666391,"Malawi","Malawi",NA,NA,NA,NA,78.41632724,0,NA,7.032624261,6.133056677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
